name_S24,islandmark_C,lat_R,lon_R,projectionlat_R,projectionlon_R,xang_R,yang_R,evalwidth_U,evalheight_U,useforbbr_C,useforffr_C,useforssr_C,useforglm_C,useforlr14_C,useforlr28_C,useforlr56_C,useforfd_C,useforconus_C,useformeso_C
000011_-75.0_BBR, ,53.507,-85.9606,0,-75,-0.018641005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000011_-137.0_BBR, ,53.507,-147.9606,0,-137,-0.018641005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000011_-89.5_BBR, ,53.507,-100.4606,0,-89.5,-0.018641005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000011_140.7_BBR, ,53.507,129.7394,0,140.7,-0.018641005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000012_-75.0_BBR, ,53.359,-78.8638,0,-75,-0.006643006,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000012_-137.0_BBR, ,53.359,-140.8638,0,-137,-0.006643006,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000012_-89.5_BBR, ,53.359,-93.3638,0,-89.5,-0.006643006,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000012_140.7_BBR, ,53.359,136.8362,0,140.7,-0.006643006,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000013_-75.0_BBR, ,53.3516,-71.887,0,-75,0.005354995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000013_-137.0_BBR, ,53.3516,-133.887,0,-137,0.005354995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000013_-89.5_BBR, ,53.3516,-86.387,0,-89.5,0.005354995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000013_140.7_BBR, ,53.3516,143.813,0,140.7,0.005354995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000014_-75.0_BBR, ,53.4841,-64.8139,0,-75,0.017352995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000014_-137.0_BBR, ,53.4841,-126.8139,0,-137,0.017352995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000014_-89.5_BBR, ,53.4841,-79.3139,0,-89.5,0.017352995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000014_140.7_BBR, ,53.4841,150.886,0,140.7,0.017352995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000015_-75.0_BBR, ,53.7709,-57.4026,0,-75,0.029350995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000015_-137.0_BBR, ,53.7709,-119.4026,0,-137,0.029350995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000015_-89.5_BBR, ,53.7709,-71.9026,0,-89.5,0.029350995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000015_140.7_BBR, ,53.7709,158.2974,0,140.7,0.029350995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000016_-75.0_BBR, ,54.2493,-49.3051,0,-75,0.041348995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000016_-137.0_BBR, ,54.2493,-111.3051,0,-137,0.041348995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000016_-89.5_BBR, ,54.2493,-63.8051,0,-89.5,0.041348995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000016_140.7_BBR, ,54.2493,166.3949,0,140.7,0.041348995,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000017_-75.0_BBR, ,55.0064,-39.8663,0,-75,0.053346995,0.13204101,256,256, , , , , , , , , , 
000017_-137.0_BBR, ,55.0064,-101.8663,0,-137,0.053346995,0.13204101,256,256, , , , , , , , , , 
000017_-89.5_BBR, ,55.0064,-54.3663,0,-89.5,0.053346995,0.13204101,256,256, , , , , , , , , , 
000017_140.7_BBR, ,55.0064,175.8337,0,140.7,0.053346995,0.13204101,256,256, , , , , , , , , , 
000018_-75.0_BBR, ,56.3054,-27.2319,0,-75,0.065344995,0.13204101,256,256, , , , , , , , , , 
000018_-137.0_BBR, ,56.3054,-89.2319,0,-137,0.065344995,0.13204101,256,256, , , , , , , , , , 
000018_-89.5_BBR, ,56.3054,-41.7319,0,-89.5,0.065344995,0.13204101,256,256, , , , , , , , , , 
000018_140.7_BBR, ,56.3054,-171.5319,0,140.7,0.065344995,0.13204101,256,256, , , , , , , , , , 
000019_-75.0_BBR, ,48.9978,-129.3153,0,-75,-0.084917005,0.12002901,256,256, , , , , , , , , , 
000019_-137.0_BBR, ,48.9978,168.6847,0,-137,-0.084917005,0.12002901,256,256, , , , , , , , , , 
000019_-89.5_BBR, ,48.9978,-143.8153,0,-89.5,-0.084917005,0.12002901,256,256, , , , , , , , , , 
